"year","weights","gender","educ","urban","income_int_dol","income_quint","WORRIED","HEALTHY","FEWFOOD","SKIPPED","ATELESS","RUNOUT","HUNGRY","WHLDAY","HH_size","employment","hours_work","WP23","WP60","WP68","WP69","WP70","WP16","WP18","WP61","WP63","WP65","WP67"
2017,0.506018352333885,1,2,2,3976.65193185886,5,0,0,0,0,0,0,0,0,2,1,2,1,1,1,2,2,6,4,1,1,2,1
2017,1.05387061502253,2,1,2,2006.23881246933,3,0,0,1,0,0,0,0,0,3,NA,NA,1,1,1,1,2,7,5,1,2,2,2
2017,1.00653499470861,1,2,2,1450.94056973229,3,1,1,1,0,1,0,0,0,4,NA,NA,1,1,1,1,1,2,7,1,2,2,1
2017,1.38875096395883,2,1,2,5373.85396197143,5,1,1,1,1,1,1,1,0,4,NA,NA,2,1,2,2,1,2,12,1,1,2,1
2017,0.671023329805742,1,2,2,537.385396197143,1,0,1,1,1,0,1,0,1,2,1,6,2,2,1,1,1,3,3,1,1,1,1
2017,0.702580410015022,2,1,2,1074.77079239429,2,1,1,1,1,1,1,1,0,2,1,5,1,2,1,1,1,3,6,1,1,2,1
2017,0.962940653287041,1,2,2,376.169777338,1,1,0,1,0,0,0,0,0,4,1,5,1,1,1,1,2,3,3,1,2,2,2
2017,0.264907765249226,2,1,2,2149.54158478857,3,1,1,1,1,1,1,1,0,1,NA,NA,1,2,1,1,1,1,2,2,1,2,2
2017,1.08171735925727,1,1,2,1074.77079239429,2,1,1,1,0,1,0,0,0,2,NA,NA,1,2,1,2,1,1,1,1,1,2,2
2017,0.351290205007511,2,1,2,429.908316957714,1,1,1,1,1,1,1,1,0,1,1,3,1,2,1,1,1,1,12,2,2,2,2
2017,1.02693062889677,2,2,1,746.965700714028,2,0,1,1,0,0,0,0,0,4,NA,NA,2,2,2,2,2,6,8,1,1,2,1
2017,0.938151588143701,2,2,1,128.972495087314,1,1,0,1,1,1,1,1,1,5,2,NA,2,2,1,1,1,6,6,2,1,2,2
2017,1.40516082003004,2,1,1,617.993205626714,1,1,1,1,0,1,1,1,0,8,NA,NA,1,2,1,1,1,8,1,1,1,2,2
2017,0.504113053120224,2,1,1,1612.15618859143,3,1,1,1,1,1,0,0,0,4,1,4,1,2,2,2,1,1,12,1,2,2,1
2017,0.264907765249226,2,1,1,1934.58742630971,3,1,1,1,0,1,1,1,0,1,NA,NA,1,1,1,1,1,1,12,1,2,2,1
2017,0.827727322351222,2,1,1,967.293713154857,2,0,0,0,0,0,0,0,0,4,NA,NA,2,1,2,2,1,10,11,1,1,2,1
2017,0.962940653287041,1,2,1,1880.84888669,3,0,1,1,0,0,0,0,0,4,1,3,1,2,1,1,1,1,6,1,1,2,1
2017,1.05387061502253,2,1,1,859.816633915428,2,1,1,1,1,1,1,0,0,5,NA,NA,1,2,1,1,1,2,1,1,1,1,1
